,City,Cloudiness,Country,Humidity,Lat,Lon,Max Temp,Wind Speed
53,Nizhnyaya Salda,100,RU,83,58.07,60.71,282.167,5.36
54,Vysokogornyy,100,RU,95,50.1,139.13,278.627,2.33
55,Nemuro,66,JP,92,43.32,145.57,290.087,6.31
56,Barrow,0,AR,51,-38.31,-60.23,283.467,4.89
57,Beringovskiy,100,RU,75,63.05,179.32,273.787,1.17
58,Hirado,75,JP,83,33.32,129.49,299.15,8.7
59,Iracoubo,21,GF,68,5.48,-53.21,300.987,4.1
60,Busselton,76,AU,67,-33.64,115.35,287.04,4.2
61,Guerrero Negro,0,MX,77,27.97,-114.04,292.307,4.68
62,Leningradskiy,100,RU,94,69.38,178.42,271.947,6.99
63,Bacolod,100,PH,89,10.68,122.95,298.697,3.14
64,Great Malvern,0,GB,86,52.11,-2.33,280.37,0.5
65,Margate,0,AU,58,-43.03,147.26,289.26,2.6
67,Bluff,0,AU,76,-23.58,149.07,289.997,6.51
68,Tura,100,RU,98,64.27,100.22,273.677,2.41
69,Whitianga,23,NZ,74,-36.83,175.7,288.15,0.89
70,Hermanus,99,ZA,85,-34.42,19.24,288.15,0.45
71,North Platte,90,US,71,41.12,-100.77,285.15,4.1
72,Juegang,0,CN,88,32.31,121.18,295.93,1.46
73,Nikolskoye,75,RU,81,59.7,30.79,279.15,2
74,Palmer,90,AU,82,-34.85,139.16,288.71,3.1
75,Bembibre,64,ES,81,42.62,-6.42,285.93,2.1
76,Muros,0,ES,93,42.77,-9.06,288.71,3.23
77,Pisco,0,PE,30,-13.71,-76.2,295.15,5.7
79,Mahebourg,75,MU,94,-20.41,57.7,296.48,5.7
80,Tiznit,0,MA,71,29.7,-9.73,295.497,14.19
81,Ginda,0,IN,81,30.69,78.49,283.177,1.76
82,Orange Walk,40,JM,79,17.93,-76.27,302.15,4.6
83,Shintomi,75,JP,88,32.08,131.47,297.15,2.1
84,Mandurah,5,AU,93,-32.55,115.7,284.82,1.5
85,Kissidougou,100,GN,92,9.19,-10.1,295.307,0.76
86,Emerald,90,AU,72,-23.53,148.16,293.15,3.6
87,Dalbandin,0,PK,36,28.9,64.41,294.877,2.24
88,Kovur,0,IN,73,14.5,79.99,300.177,1.32
92,Albany,90,US,87,42.65,-73.75,290.37,3.6
93,Balkanabat,0,TM,44,39.51,54.36,293.027,1.06
94,Paysandu,98,UY,75,-32.32,-58.08,287.59,2.24
95,Magdalena,75,PH,83,14.2,121.43,298.15,2.1
96,Ramsar,0,IR,94,36.92,50.64,293.15,1.27
97,Kalanchak,0,UA,86,46.26,33.28,287.937,3.82
98,Ormara,34,PK,88,25.21,64.64,299.407,4.4
99,Port Macquarie,40,AU,76,-31.43,152.91,293.15,1.5
100,Soyo,49,AO,84,-6.13,12.37,298.237,4.22
102,Ostrovnoy,97,RU,73,68.05,39.51,274.477,9.23
103,Le Mars,90,US,100,42.79,-96.17,284.26,1.5
104,Turbat,0,PK,46,26,63.05,301.267,3.47
105,Kutum,47,SD,40,14.2,24.66,299.387,4.98
106,Kushima,75,JP,88,31.5,131.29,297.15,2.1
107,Sao Felix do Xingu,95,BR,72,-6.64,-51.99,299.367,0.71
108,Bluff,0,AU,76,-23.58,149.07,289.997,6.51
109,Kuliyapitiya,20,LK,88,7.47,80.04,299.15,1
110,Cap Malheureux,75,MU,94,-19.98,57.61,296.48,5.7
111,Karla,75,EE,87,59.37,24.93,280.93,4.1
112,Ponazyrevo,100,RU,89,58.36,46.31,283.887,6.06
113,Baruun-Urt,100,MN,94,46.68,113.28,273.717,8.32
114,Kirando,100,TZ,75,-7.37,30.62,298.717,1.32
116,Grindavik,90,IS,93,63.84,-22.43,280.15,15.4
117,Kodiak,90,US,88,39.95,-94.76,297.59,0.27
118,Paysandu,98,UY,75,-32.32,-58.08,287.59,2.24
119,Luau,11,CD,58,-10.7,22.23,295.927,2.01
120,Khatanga,0,RU,83,71.98,102.47,266.707,3.56
121,Dikson,2,RU,77,73.51,80.55,269.837,8.84
123,Hobart,0,AU,58,-42.88,147.33,289.26,2.6
124,Kapaa,75,US,66,22.08,-159.32,302.15,3.6
125,Nizhnyaya Salda,100,RU,83,58.07,60.71,282.167,5.36
126,Port Keats,0,AU,86,-14.25,129.55,296.127,2.17
127,Constitucion,75,MX,27,23.99,-104.67,298.15,1
128,Kirksville,20,US,100,40.19,-92.58,299.15,1.5
129,Chicama,40,PE,82,-7.84,-79.15,291.15,5.1
130,Kodinsk,100,RU,97,58.6,99.18,274.887,4.81
131,Te Anau,89,NZ,76,-45.41,167.72,276.617,0.55
133,Cape Town,20,ZA,87,-33.93,18.42,289.82,3.6
134,Longonjo,42,AO,80,-12.91,15.25,291.257,2.36
135,Port Macquarie,40,AU,76,-31.43,152.91,293.15,1.5
136,Nikolskoye,75,RU,81,59.7,30.79,279.15,2
137,Tiznit,0,MA,71,29.7,-9.73,295.497,14.19
138,Juneau,75,US,81,58.3,-134.42,284.26,4.6
139,Yelniki,94,RU,76,54.62,43.88,285.517,5.66
140,Mahebourg,75,MU,94,-20.41,57.7,296.48,5.7
141,Killarney,0,AU,53,-28.34,152.3,289.82,0.73
142,Boden,0,SE,80,65.83,21.69,274.15,2.1
143,Kargopol,92,RU,94,61.51,38.95,277.827,1.42
144,Ponta do Sol,0,BR,44,-20.63,-46,299.017,1.91
145,Green River,40,US,33,41.53,-109.47,283.15,11.3
146,Castro,0,CL,43,-42.48,-73.76,284.15,3.6
147,Syracuse,90,US,93,43.05,-76.15,287.15,2.95
148,Glasgow,80,GB,93,55.86,-4.24,282.04,1.5
149,Tezu,7,IN,83,27.93,96.16,293.667,1.13
150,Preobrazheniye,100,RU,85,42.9,133.91,287.187,1.46
151,Manta,4,RO,62,45.1,24.1,289.407,1.51
152,Port Alfred,100,ZA,93,-33.59,26.89,288.71,0.45
153,Fayaoue,100,NC,74,-20.65,166.53,293.797,11.01
154,Maumere,0,ID,74,-8.63,122.22,295.997,1.21
155,Leningradskiy,100,RU,94,69.38,178.42,271.947,6.99
156,Hamilton,90,CA,100,43.26,-79.87,288.15,7.2
157,Springfield,1,US,48,37.22,-93.29,305.37,3.6
158,Geraldton,75,CA,64,49.72,-86.95,276.15,4.6
159,Salalah,40,OM,83,17.01,54.1,300.15,1
160,Atambua,41,ID,75,-9.11,124.89,297.797,1.83
161,Banjarmasin,53,ID,87,-3.32,114.59,297.827,3.52
162,Kununurra,0,AU,82,-15.77,128.74,290.15,1
163,Naze,100,NG,97,5.43,7.07,295.867,1.39
164,Thompson,5,CA,37,55.74,-97.86,283.15,4.1
165,Provideniya,75,RU,86,64.42,-173.23,278.15,11
166,Komsomolskiy,61,RU,83,67.55,63.78,276.637,8.97
167,Russell,90,US,82,38.9,-98.86,287.15,4.1
168,Gat,75,SN,88,14.69,-16.54,302.15,3.6
169,Barcelona,20,ES,73,41.38,2.18,295.93,1.5
170,Cassilandia,96,BR,52,-19.11,-51.73,301.397,1.24
171,Hermanus,99,ZA,85,-34.42,19.24,288.15,0.45
172,Flin Flon,75,CA,48,54.77,-101.88,280.15,2.6
173,Komsomolskiy,61,RU,83,67.55,63.78,276.637,8.97
174,Barcelona,20,ES,73,41.38,2.18,295.93,1.5
175,Nibbar,40,TN,77,36.29,8.77,293.15,2.1
176,Virginia Beach,20,US,58,36.85,-75.98,308.15,3.1
178,Evensk,0,RU,53,61.92,159.24,270.867,4.08
179,Minas de Barroteran,81,MX,46,27.63,-101.28,303.507,4.53
180,Hun,20,BE,87,50.34,4.87,281.48,4.1
181,Coihaique,40,CL,49,-45.58,-72.07,282.15,3.6
183,Khorramshahr,0,IR,42,30.43,48.18,302.15,1
184,Chivacoa,75,VE,58,10.16,-68.9,302.15,4.6
185,Lerwick,67,GB,87,60.15,-1.15,282.15,3.6
186,Visby,74,SE,81,57.64,18.3,282.15,4.1
187,Constitucion,75,MX,27,23.99,-104.67,298.15,1
188,Labuhan,64,ID,93,-2.54,115.51,294.747,0.71
189,Stolin,100,BY,68,51.89,26.85,290.497,4.6
190,Mackay,75,CA,50,53.65,-115.58,286.15,2.1
191,Port-Gentil,30,GA,78,-0.72,8.78,298.557,4.83
192,Assiniboia,100,CA,86,49.63,-105.99,278.277,3.02
193,Mehran,0,IR,21,33.12,46.17,303.097,1.52
195,North Platte,90,US,71,41.12,-100.77,285.15,4.1
196,Bacolod,100,PH,89,10.68,122.95,298.697,3.14
197,Bembibre,64,ES,81,42.62,-6.42,285.93,2.1
198,Saint-Pierre,0,FR,81,48.95,4.24,280.15,4.1
199,Concarneau,90,FR,87,47.88,-3.92,283.15,2.6
200,Voznesenskaya,0,RU,72,44.55,41.03,286.907,2.83
201,Chokurdakh,99,RU,94,70.62,147.9,269.667,6.37
202,Yulara,22,AU,22,-25.24,130.99,293.15,2.1
203,Soyo,49,AO,84,-6.13,12.37,298.237,4.22
204,Sao Miguel do Araguaia,25,BR,38,-13.28,-50.16,306.207,2.82
206,Kimberley,0,ZA,29,-28.74,24.76,290.15,3.6
207,Yellowknife,75,CA,50,62.45,-114.38,284.15,5.1
208,Stolin,100,BY,68,51.89,26.85,290.497,4.6
209,Posse,0,BR,21,-14.08,-46.36,305.227,3.58
211,Grindavik,90,IS,93,63.84,-22.43,280.15,15.4
212,Ballina,100,IE,87,54.11,-9.15,283.15,1.79
214,Santa Cruz,0,BR,59,-6.22,-36.02,297.727,6.31
215,Anadyr,20,RU,67,64.73,177.51,273.15,9
216,Marsh Harbour,0,BS,79,26.54,-77.06,300.037,7.14
217,Quibdo,75,CO,74,5.69,-76.66,301.15,2.6
218,Kutum,47,SD,40,14.2,24.66,299.387,4.98
219,Huatulco,90,MX,78,15.84,-96.33,300.15,1.58
220,Flin Flon,75,CA,48,54.77,-101.88,280.15,2.6
222,Menongue,70,AO,19,-14.66,17.68,292.027,1.84
223,Hanzhong,99,CN,97,33.08,107.03,291.377,0.21
224,Alihe,100,CN,67,50.57,123.73,273.487,1.47
225,Hamilton,90,CA,100,43.26,-79.87,288.15,7.2
226,Iqaluit,75,CA,86,63.75,-68.52,276.15,5.1
227,Baruun-Urt,100,MN,94,46.68,113.28,273.717,8.32
228,Georgetown,20,GY,74,6.8,-58.16,303.15,4.1
229,Charagua,90,BO,63,-19.79,-63.2,291.15,2.1
230,Qixingtai,0,CN,63,30.41,111.89,296.48,1.22
231,Maceio,20,BR,78,-9.67,-35.74,298.15,4.6
234,Sungaipenuh,91,ID,95,-2.08,101.38,294.577,0.28
236,Oriximina,0,BR,41,-1.77,-55.87,307.397,2.61
237,Vila,0,IT,87,45.18,8.4,292.04,3.1
238,Ust-Maya,0,RU,78,60.42,134.54,268.637,2.5
239,Cabo San Lucas,40,MX,61,22.89,-109.91,304.82,2.1
240,Durres,20,AL,93,41.32,19.44,292.15,2.6
241,Nouadhibou,0,MR,54,20.93,-17.03,299.15,5.1
242,Omsukchan,0,RU,81,62.53,155.8,260.577,1.79
243,Hereford,20,GB,93,52.06,-2.72,280.93,0.58
244,Castro,0,CL,43,-42.48,-73.76,284.15,3.6
245,Lompoc,1,US,18,34.64,-120.46,300.15,2.6
246,Longonjo,42,AO,80,-12.91,15.25,291.257,2.36
247,Zhezkazgan,0,KZ,47,47.8,67.71,274.15,4
248,Mataura,98,NZ,92,-46.19,168.86,281.48,1.79
249,Georgetown,20,GY,74,6.8,-58.16,303.15,4.1
250,Paysandu,98,UY,75,-32.32,-58.08,287.59,2.24
251,Changtu,0,CN,78,42.78,124.11,287.277,5.77
252,Goundi,100,TD,96,9.36,17.37,294.667,1.51
253,Cam Ranh,20,VN,94,11.92,109.15,299.15,2.1
254,Khatra,54,IN,89,22.98,86.85,297.597,0.96
255,Necochea,0,AR,69,-38.55,-58.74,280.37,1.34
256,Bam,4,IR,48,29.11,58.36,290.197,1.19
258,La Paz,20,MX,38,24.15,-110.32,304.15,5.7
259,Geraldton,75,CA,64,49.72,-86.95,276.15,4.6
260,Itoman,40,JP,94,26.12,127.67,299.15,2.1
261,Klaksvik,0,FO,81,62.23,-6.59,280.15,3.97
262,Rio Grande,90,BR,82,-32.03,-52.1,293.15,5.7
264,Oriximina,0,BR,41,-1.77,-55.87,307.397,2.61
265,Brae,67,GB,87,60.4,-1.35,282.15,5.1
266,Anadyr,20,RU,67,64.73,177.51,273.15,9
267,Upernavik,0,GL,71,72.79,-56.15,275.957,5.13
268,Hay River,75,CA,32,60.82,-115.79,292.15,3.1
269,Banjarmasin,53,ID,87,-3.32,114.59,297.827,3.52
270,Troitskoye,0,RU,60,52.98,84.68,274.307,1.99
271,Beringovskiy,100,RU,75,63.05,179.32,273.787,1.17
272,Aswan,0,EG,18,24.09,32.9,302.15,3.6
274,Norman Wells,90,CA,87,65.28,-126.83,281.15,1
276,Ankpa,63,NG,98,7.37,7.63,295.147,2.68
277,Neryungri,100,RU,89,56.66,124.71,267.197,2.92
278,Springfield,1,US,48,37.22,-93.29,305.37,3.6
279,Albany,90,US,87,42.65,-73.75,290.37,3.6
280,Sadasivpet,75,IN,88,17.62,77.95,296.48,2.6
281,Rawson,33,AR,20,-43.3,-65.11,286.287,4.07
282,Bay Roberts,90,CA,86,47.58,-53.28,279.82,7.2
283,Moche,40,PE,82,-8.17,-79.01,291.15,5.1
284,Hun,20,BE,87,50.34,4.87,281.48,4.1
285,Moravita,20,RO,77,45.26,21.27,295.37,3.1
286,Susangerd,0,IR,45,31.56,48.19,301.15,1
287,Ribeira Grande,40,PT,68,38.52,-28.7,293.15,3.1
288,Butaritari,100,KI,62,3.07,172.79,302.397,2.32
289,Tateyama,75,JP,39,36.66,137.31,299.15,2.6
291,Sault Sainte Marie,1,CA,57,46.49,-84.36,285.15,5.7
292,Broome,75,GB,76,52.47,1.45,283.71,4.1
293,Dwarka,20,IN,83,28.58,77.04,298.15,2.66
294,Chapais,90,CA,60,49.78,-74.86,278.15,4.1
295,Punta Arenas,75,CL,72,-53.16,-70.91,281.15,13.4
296,Ilulissat,100,GL,34,69.22,-51.1,282.15,9.8
297,Coquimbo,0,CL,54,-29.95,-71.34,290.37,5.7
298,Parrita,75,CR,78,9.52,-84.33,296.15,4.1
299,Darnah,0,LY,72,32.77,22.64,297.447,4.34
300,Rundu,0,NA,11,-17.91,19.77,291.857,3.64
301,Baie-Comeau,90,CA,52,49.22,-68.15,279.15,3.6
302,Juegang,0,CN,88,32.31,121.18,295.93,1.46
303,Sao Jose da Coroa Grande,0,BR,85,-8.9,-35.15,295.517,2.55
304,Goundi,100,TD,96,9.36,17.37,294.667,1.51
305,Nizhnyaya Salda,100,RU,83,58.07,60.71,282.167,5.36
306,Bethel,90,US,87,60.79,-161.76,283.15,5.1
307,Airai,0,TL,58,-8.93,125.41,293.447,1.32
308,Leningradskiy,100,RU,94,69.38,178.42,271.947,6.99
309,Assiniboia,100,CA,86,49.63,-105.99,278.277,3.02
310,Bambous Virieux,75,MU,94,-20.34,57.76,296.48,5.7
311,Bathsheba,40,BB,66,13.22,-59.52,303.15,6.7
313,Barcelona,20,ES,73,41.38,2.18,295.93,1.5
314,Khandyga,89,RU,75,62.65,135.58,268.037,1.28
315,Punta Arenas,75,CL,72,-53.16,-70.91,281.15,13.4
316,Martyush,100,RU,74,56.4,61.89,281.897,4.35
317,Fayaoue,100,NC,74,-20.65,166.53,293.797,11.01
318,Guangyuan,100,CN,87,32.43,105.86,293.71,0.83
319,Nizhnyaya Salda,100,RU,83,58.07,60.71,282.167,5.36
320,Shenzhen,20,CN,74,22.54,114.05,301.48,2.6
321,Arlit,48,NE,9,18.74,7.39,307.067,4.94
322,Abengourou,95,CI,93,6.73,-3.5,296.367,1.63
323,Baghdad,0,IQ,35,33.3,44.38,303.15,1.5
324,Virginia Beach,20,US,58,36.85,-75.98,308.15,3.1
327,Huarmey,23,PE,90,-10.07,-78.15,289.727,8.04
328,Victoria,75,BN,88,5.28,115.24,299.15,1.5
329,Beringovskiy,100,RU,75,63.05,179.32,273.787,1.17
330,Coquimbo,0,CL,54,-29.95,-71.34,290.37,5.7
331,Lewisporte,75,CA,86,49.25,-55.06,278.15,4.6
333,Ishigaki,20,JP,100,24.34,124.16,297.15,1.83
335,Touros,0,BR,78,-5.2,-35.46,297.15,2.6
336,Nizhnyaya Salda,100,RU,83,58.07,60.71,282.167,5.36
338,Saint-Pierre,0,FR,81,48.95,4.24,280.15,4.1
339,Eagle Pass,20,MX,36,28.71,-100.5,308.15,4.1
340,Itarema,0,BR,69,-2.92,-39.92,298.477,5.34
341,Longonjo,42,AO,80,-12.91,15.25,291.257,2.36
342,Le Mars,90,US,100,42.79,-96.17,284.26,1.5
343,Orotukan,0,RU,85,62.26,151.67,261.837,1.11
344,Pahrump,1,US,8,36.21,-115.98,299.82,4.1
345,Atambua,41,ID,75,-9.11,124.89,297.797,1.83
346,Dalbandin,0,PK,36,28.9,64.41,294.877,2.24
347,Ankpa,63,NG,98,7.37,7.63,295.147,2.68
348,Kargopol,92,RU,94,61.51,38.95,277.827,1.42
349,Fayaoue,100,NC,74,-20.65,166.53,293.797,11.01
350,Goundi,100,TD,96,9.36,17.37,294.667,1.51
351,Trincomalee,4,LK,89,8.58,81.23,297.147,1.05
352,Inirida,91,CO,61,3.87,-67.92,304.967,1.12
354,Aklavik,75,CA,80,68.22,-135.01,278.15,5.1
355,Mount Gambier,90,AU,93,-37.83,140.78,285.15,4.1
357,Bambous Virieux,75,MU,94,-20.34,57.76,296.48,5.7
358,Troitskoye,0,RU,60,52.98,84.68,274.307,1.99
359,Mehran,0,IR,21,33.12,46.17,303.097,1.52
360,Avera,1,US,41,33.19,-82.53,308.15,3.6
361,Fort Nelson,75,CA,54,58.81,-122.69,288.15,1
362,Urucara,40,BR,31,-2.54,-57.76,308.327,0.82
363,Makakilo City,90,US,74,21.35,-158.09,303.71,2.1
364,Dalbandin,0,PK,36,28.9,64.41,294.877,2.24
365,Cadillac,90,US,87,44.25,-85.4,286.15,4.1
366,Atuona,4,PF,73,-9.8,-139.03,299.517,4.37
367,Changtu,0,CN,78,42.78,124.11,287.277,5.77
369,Cascais,0,PT,77,38.7,-9.42,290.93,4.1
370,Dawson Creek,1,CA,42,55.76,-120.23,290.15,1.5
371,Kissidougou,100,GN,92,9.19,-10.1,295.307,0.76
372,Kruisfontein,100,ZA,38,-34,24.73,291.817,2.43
373,Kirando,100,TZ,75,-7.37,30.62,298.717,1.32
374,Qaanaaq,50,GL,77,77.48,-69.36,268.577,1.98
375,Santa Maria,0,BR,22,-16.02,-48.01,305.15,3.1
376,Tuktoyaktuk,75,CA,86,69.44,-133.03,277.15,4.6
377,Atikokan,100,CA,65,48.76,-91.62,280.577,2.18
378,Punta Arenas,75,CL,72,-53.16,-70.91,281.15,13.4
379,Ekhabi,48,RU,62,53.51,142.97,278.037,11.77
380,Emerald,90,AU,72,-23.53,148.16,293.15,3.6
381,Hanzhong,99,CN,97,33.08,107.03,291.377,0.21
383,Meulaboh,100,ID,80,4.14,96.13,299.077,2.06
384,Oyama,75,JP,93,36.31,139.8,298.15,1
386,Nguru,31,NG,37,12.88,10.45,304.767,3.34
387,Aleysk,0,RU,61,52.5,82.77,274.377,2.72
388,Raudeberg,99,NO,71,61.99,5.14,284.15,5.1
389,Mudgee,26,AU,76,-32.6,149.59,287.59,0.84
390,Landshut,20,DE,87,48.54,12.15,282.04,4.6
391,Madimba,75,CM,100,4.42,9.93,298.15,1
392,Mitsamiouli,0,KM,80,-11.38,43.28,298.897,4.87
393,Mendeleyevo,90,RU,82,56.04,37.23,288.15,2
394,Manta,4,RO,62,45.1,24.1,289.407,1.51
395,Chuy,100,UY,88,-33.69,-53.46,285.797,10.68
396,Beidao,84,CN,87,34.57,105.89,287.907,0.54
397,Baie-Comeau,90,CA,52,49.22,-68.15,279.15,3.6
398,Nguru,31,NG,37,12.88,10.45,304.767,3.34
399,Leningradskiy,100,RU,94,69.38,178.42,271.947,6.99
400,Komatipoort,0,MZ,89,-25.43,31.96,285.93,1.05
401,Margate,0,AU,58,-43.03,147.26,289.26,2.6
402,Kamenka,99,MD,70,48.03,28.7,288.71,1.79
403,Gilgit,3,PK,64,35.92,74.31,276.567,2.85
404,Mandurah,5,AU,93,-32.55,115.7,284.82,1.5
405,Saravan,0,AM,43,39.72,45.65,286.15,2.1
406,Chokurdakh,99,RU,94,70.62,147.9,269.667,6.37
407,Manicore,100,BR,40,-5.81,-61.3,307.347,1.48
408,Masterton,82,NZ,60,-40.95,175.66,283.71,4.02
409,Sao Miguel do Araguaia,25,BR,38,-13.28,-50.16,306.207,2.82
410,Balaipungut,88,ID,96,1.11,101.31,295.567,0.73
411,Bambous Virieux,75,MU,94,-20.34,57.76,296.48,5.7
413,Iracoubo,21,GF,68,5.48,-53.21,300.987,4.1
414,Saint-Philippe,40,CA,66,45.36,-73.48,285.37,2.6
415,Baruun-Urt,100,MN,94,46.68,113.28,273.717,8.32
416,Baghdad,0,IQ,35,33.3,44.38,303.15,1.5
417,Luau,11,CD,58,-10.7,22.23,295.927,2.01
418,Trincomalee,4,LK,89,8.58,81.23,297.147,1.05
419,Posse,0,BR,21,-14.08,-46.36,305.227,3.58
421,Sao Miguel do Araguaia,25,BR,38,-13.28,-50.16,306.207,2.82
422,Canico,20,PT,83,32.63,-16.85,294.15,2.6
423,Tiksi,99,RU,92,71.64,128.87,270.457,10.18
424,Atikokan,100,CA,65,48.76,-91.62,280.577,2.18
425,Balaipungut,88,ID,96,1.11,101.31,295.567,0.73
426,Qixingtai,0,CN,63,30.41,111.89,296.48,1.22
427,Preobrazheniye,100,RU,85,42.9,133.91,287.187,1.46
428,Whitianga,23,NZ,74,-36.83,175.7,288.15,0.89
429,Irbeyskoye,100,RU,63,55.64,95.45,275.537,5.36
430,Meulaboh,100,ID,80,4.14,96.13,299.077,2.06
431,Gornopravdinsk,100,RU,80,60.06,69.92,282.977,5.32
432,Mount Gambier,90,AU,93,-37.83,140.78,285.15,4.1
433,Aykhal,75,RU,100,65.95,111.51,267.15,2
434,Kahului,40,US,78,20.89,-156.47,302.59,6.7
435,Yulara,22,AU,22,-25.24,130.99,293.15,2.1
436,Geraldton,75,CA,64,49.72,-86.95,276.15,4.6
437,Port Alfred,100,ZA,93,-33.59,26.89,288.71,0.45
438,San Carlos de Bariloche,0,AR,68,-41.13,-71.31,278.71,0.5
439,Wattegama,79,LK,95,7.35,80.68,295.807,0.46
440,Hay River,75,CA,32,60.82,-115.79,292.15,3.1
441,Taoudenni,0,ML,8,22.68,-3.98,307.647,3.23
442,Shache,0,CN,36,38.42,77.24,288.557,0.93
443,Changping,0,CN,93,40.22,116.23,297.59,2
444,Beringovskiy,100,RU,75,63.05,179.32,273.787,1.17
445,Te Anau,89,NZ,76,-45.41,167.72,276.617,0.55
446,Taungdwingyi,99,MM,92,20,95.55,296.657,2.28
447,Tezu,7,IN,83,27.93,96.16,293.667,1.13
448,Male,66,UA,52,50.74,33.7,286.957,5.66
449,Fayaoue,100,NC,74,-20.65,166.53,293.797,11.01
450,Kununurra,0,AU,82,-15.77,128.74,290.15,1
451,Hanzhong,99,CN,97,33.08,107.03,291.377,0.21
452,Cockburn Town,100,TC,70,21.46,-71.14,301.667,2.28
453,Tanete,70,ID,82,-3.94,119.78,299.337,7.23
454,Barra Patuca,76,HN,74,15.8,-84.28,302.217,4.87
455,Bonavista,25,CA,87,48.65,-53.11,278.15,6.65
456,Springfield,1,US,48,37.22,-93.29,305.37,3.6
457,Zavoronezhskoye,91,RU,78,52.88,40.55,284.857,4.36
458,Sungairaya,100,ID,79,0.7,108.9,299.477,2.38
459,Ponta Delgada,75,PT,88,37.73,-25.67,295.37,6.7
460,Paka,100,CF,98,4.15,15.03,293.627,0.92
461,Palmer,90,AU,82,-34.85,139.16,288.71,3.1
462,Garowe,9,SO,55,8.41,48.48,299.497,4.81
463,Abakaliki,20,NG,94,6.32,8.11,298.15,1
464,Ancud,0,CL,43,-41.87,-73.83,284.15,3.6
465,Hanzhong,99,CN,97,33.08,107.03,291.377,0.21
466,Cherskiy,19,RU,86,68.75,161.3,266.467,6.79
467,Kardymovo,99,RU,89,54.89,32.44,285.587,2.92
468,Kirksville,20,US,100,40.19,-92.58,299.15,1.5
469,Clyde River,75,CA,100,70.47,-68.59,275.15,3.6
470,Martyush,100,RU,74,56.4,61.89,281.897,4.35
471,Sitka,54,US,95,37.17,-99.65,286.48,8.94
472,Haines Junction,10,CA,64,60.75,-137.51,277.347,1.83
473,Darnah,0,LY,72,32.77,22.64,297.447,4.34
474,Provideniya,75,RU,86,64.42,-173.23,278.15,11
475,Auki,10,NG,77,12.18,6.51,297.537,3.73
476,Marsh Harbour,0,BS,79,26.54,-77.06,300.037,7.14
478,Mawlaik,35,MM,95,23.63,94.42,292.757,1.12
479,Emerald,90,AU,72,-23.53,148.16,293.15,3.6
